name,id,actual_name
manchester-city,281,Manchester City
manchester-united,985,Manchester United
fc-liverpool,31,Liverpool FC
fc-chelsea,631,Chelsea FC
tottenham-hotspur,148,Tottenham Hotspur
fc-arsenal,11,Arsenal FC
fc-everton,29,Everton FC
leicester-city,1003,Leicester City
wolverhampton-wanderers,543,Wolverhampton Wanderers
aston-villa,405,Aston Villa
west-ham-united,379,West Ham United
brighton-amp-hove-albion,1237,Brighton & Hove Albion
fc-southampton,180,Southampton FC
newcastle-united,762,Newcastle United
fc-fulham,931,Fulham FC
leeds-united,399,Leeds United
crystal-palace,873,Crystal Palace
sheffield-united,350,Sheffield United
west-bromwich-albion,984,West Bromwich Albion
fc-burnley,1132,Burnley FC
fc-brentford,1148,Brentford FC
norwich-city,1123,Norwich City
fc-watford,1010,Watford FC
nottingham-forest,703,Nottingham Forest
afc-bournemouth,989,AFC Bournemouth
luton-town,1031,Luton Town
real-madrid,418,Real Madrid
fc-barcelona,131,FC Barcelona
atletico-madrid,13,Atlético de Madrid
fc-sevilla,368,Sevilla FC
real-sociedad-san-sebastian,681,Real Sociedad
fc-villarreal,1050,Villarreal CF
fc-valencia,1049,Valencia CF
real-betis-sevilla,150,Real Betis Balompié
athletic-bilbao,621,Athletic Bilbao
fc-getafe,3709,Getafe CF
celta-vigo,940,Celta de Vigo
fc-granada,16795,Granada CF
ud-levante,3368,Levante UD
ca-osasuna,331,CA Osasuna
sd-eibar,1533,SD Eibar
deportivo-alaves,1108,Deportivo Alavés
sd-huesca,5358,SD Huesca
real-valladolid,366,Real Valladolid CF
fc-cadiz,2687,Cádiz CF
fc-elche,1531,Elche CF
espanyol-barcelona,714,RCD Espanyol Barcelona
rcd-mallorca,237,RCD Mallorca
rayo-vallecano,367,Rayo Vallecano
fc-girona,12321,Girona FC
ud-almeria,3302,UD Almería
ud-las-palmas,472,UD Las Palmas
inter-milan,46,Inter Milan
juventus-fc,506,Juventus FC
ac-mailand,5,AC Milan
ssc-neapel,6195,SSC Napoli
atalanta-bergamo,800,Atalanta BC
as-rom,12,AS Roma
lazio-rom,398,SS Lazio
ac-florenz,430,ACF Fiorentina
us-sassuolo,6574,US Sassuolo
cagliari-calcio,1390,Cagliari Calcio
fc-turin,416,Torino FC
udinese-calcio,410,Udinese Calcio
hellas-verona,276,Hellas Verona
fc-bologna,1025,Bologna FC 1909
parma-calcio-1913,130,Parma Calcio 1913
sampdoria-genua,1038,UC Sampdoria
genua-cfc,252,Genoa CFC
spezia-calcio,3522,Spezia Calcio
fc-crotone,4083,FC Crotone
benevento-calcio,4171,Benevento Calcio
fc-empoli,749,FC Empoli
venezia-fc,607,Venezia FC
us-salernitana-1919,380,US Salernitana 1919
ac-monza,2919,AC Monza
us-lecce,1005,US Lecce
us-cremonese,2239,US Cremonese
frosinone-calcio,8970,Frosinone Calcio
bayer-04-leverkusen,15,Bayer 04 Leverkusen
bayern-munich,27,Bayern Munich
borussia-dortmund,16,Borussia Dortmund
rasenballsport-leipzig,23826,RB Leipzig
borussia-monchengladbach,18,Borussia Mönchengladbach
eintracht-frankfurt,24,Eintracht Frankfurt
vfl-wolfsburg,82,VfL Wolfsburg
hertha-bsc,44,Hertha BSC
tsg-1899-hoffenheim,533,TSG 1899 Hoffenheim
vfb-stuttgart,79,VfB Stuttgart
1-fsv-mainz-05,39,1.FSV Mainz 05
sc-freiburg,60,SC Freiburg
fc-schalke-04,33,FC Schalke 04
1-fc-koln,3,1.FC Köln
sv-werder-bremen,86,SV Werder Bremen
fc-augsburg,167,FC Augsburg
1-fc-union-berlin,89,1.FC Union Berlin
arminia-bielefeld,10,Arminia Bielefeld
vfl-bochum,80,VfL Bochum
spvgg-greuther-furth,65,SpVgg Greuther Fürth
1-fc-heidenheim-1846,2036,1.FC Heidenheim 1846
sv-darmstadt-98,105,SV Darmstadt 98
paris-saint-germain,583,Paris Saint-Germain
olympique-lyon,1041,Olympique Lyon
as-monaco,162,AS Monaco
losc-lille,1082,LOSC Lille
fc-stade-rennes,273,Stade Rennais FC
olympique-marseille,244,Olympique Marseille
ogc-nizza,417,OGC Nice
as-saint-etienne,618,AS Saint-Étienne
montpellier-hsc,969,Montpellier HSC
sco-angers,1420,Angers SCO
rc-strassburg-alsace,667,RC Strasbourg Alsace
fc-girondins-bordeaux,40,FC Girondins Bordeaux
stade-reims,1421,Stade Reims
rc-lens,826,RC Lens
fc-metz,347,FC Metz
stade-brest-29,3911,Stade Brestois 29
fc-nantes,995,FC Nantes
fc-lorient,1158,FC Lorient
dijon-fco,2969,Dijon FCO
nimes-olympique,1160,Nîmes Olympique
es-troyes-ac,1095,ESTAC Troyes
clermont-foot-63,3524,Clermont Foot 63
fc-toulouse,415,FC Toulouse
aj-auxerre,290,AJ Auxerre
ac-ajaccio,1147,AC Ajaccio
ac-le-havre,738,Le Havre AC
sporting-cp,336,Sporting CP
sl-benfica,294,SL Benfica
fc-porto,720,FC Porto
sc-braga,1075,SC Braga
fc-famalicao,3329,FC Famalicão
vitoria-guimaraes-sc,2420,Vitória Guimarães SC
gd-estoril-praia,1465,GD Estoril Praia
fc-arouca,8024,FC Arouca
gil-vicente-fc,2424,Gil Vicente FC
